hs2,cluster_kmeans,cluster_agg,log_world_import,world_import_slope,opportunity_rate,mean_rca,mean_market_penetration,log_n_markets,log_n_products
5512,0,0,22.712182614228972,0.025824343933056347,0.2026431718061674,8.910092604261083e-06,2.431777397042497e-09,5.429345628954441,1.9459101490553132
5513,0,0,22.251209193306067,-0.05657305696737365,0.2025931117340809,0.12296077219217805,2.702473717776377e-06,5.429345628954441,2.4849066497880004
5514,0,0,22.06788737436671,0.03346711320213562,0.20255139500734215,0.0007101440374185396,9.129549955914321e-07,5.429345628954441,2.5649493574615367
5515,0,0,22.69479477346688,0.0006888929894500792,0.20239843367596672,6.642528442189656e-05,3.0371820432158843e-09,5.429345628954441,2.302585092994046
5516,0,0,22.489917993322898,0.07282067241069491,0.2026431718061674,,0.0,5.429345628954441,3.044522437723423
5601,0,0,22.180063983819906,0.01590727614879754,0.2018171806167401,0.016174735986792577,8.790536591009169e-06,5.429345628954441,1.6094379124341003
5602,0,0,21.538419248182784,0.01024792977635985,0.20250550660792951,0.011050841311992266,0.00013381823993660757,5.429345628954441,1.6094379124341003
5603,0,0,23.983061782891,0.029015364636587253,0.20002753303964757,0.02793098835901268,0.000230786849012922,5.429345628954441,2.1972245773362196
5604,0,0,20.70197631661969,0.06443516947068148,0.20236784140969163,0.0005161825938850279,0.0002753405790504717,5.429345628954441,1.0986122886681098
5605,0,0,19.87756040286482,0.0050238682755681,0.2026431718061674,0.0007399714850220966,3.105760753273096e-06,5.429345628954441,0.6931471805599453
5606,0,0,20.666629893924927,-0.012591941627274669,0.2026431718061674,,0.0,5.429345628954441,0.6931471805599453
5607,0,0,22.153790185215957,0.02817654609629831,0.2020007342143906,0.03293736332463386,4.315087313747328e-05,5.429345628954441,1.9459101490553132
5608,0,0,21.832975322990865,0.0352262059426033,0.20227606461086636,0.03711860227620011,3.3043424935752223e-05,5.429345628954441,1.3862943611198906
5609,0,0,20.809667670747498,0.027911399406377407,0.20154185022026433,8.767926015620594e-05,6.818750719956919e-09,5.429345628954441,0.6931471805599453
5701,0,0,21.457912928840436,-0.042223410155271,0.19933920704845814,0.00788555436891664,0.00011414937127854702,5.429345628954441,1.0986122886681098
5702,0,0,22.92795733043174,0.010354046181201356,0.20145007342143906,0.00647884546089664,8.762140004982519e-06,5.429345628954441,2.5649493574615367
