model,MAE,RMSE,MAPE,sMAPE,WMAPE,notes,selected_for_future_forecast
random_forest,1357025.9695321415,2928566.6722888006,39.10538775759665,19.538785254505928,15.193297902520058,,True
naive_last_value,1646345.207978,3496630.8960108664,37.1046677020263,21.857035971219442,18.43252358967007,,False
gradient_boosting,1425659.9618745884,3515635.776720863,39.31518731490534,18.90392846602829,15.96172585844016,,False
simple_exponential_smoothing,1869218.2210354991,3847931.169804831,54.84320222597562,25.02623024323112,20.927815616382183,,False
hist_gradient_boosting,1599384.6855776396,3854649.0031019463,45.483576492029385,20.28277593303184,17.906752364575073,,False
moving_average_3,2057218.769762,4266794.464364512,53.71589608329983,26.965840869353837,23.03267462923051,,False
trend_adjusted_naive,2078237.0489455285,5105498.504003534,40.34177524053645,25.031785169043925,23.267995827353037,,False
arima_110_log,,,,,,statsmodels is not installed; ARIMA/SARIMAX skipped safely.,False
