j,k,iso3,country_name,description_short,series_id,t,actual,model,prediction
124,710812,CAN,Canada,"Metals: gold, non-monetary, unwrought (but not powder)",124__710812,2023,8538284.578,simple_exponential_smoothing,6865154.364077148
124,841191,CAN,Canada,Turbines: parts of turbo-jets and turbo-propellers,124__841191,2022,2843620.6769999997,naive_last_value,2237343.008
124,841191,CAN,Canada,Turbines: parts of turbo-jets and turbo-propellers,124__841191,2022,2843620.6769999997,moving_average_3,2453755.9039999996
124,841191,CAN,Canada,Turbines: parts of turbo-jets and turbo-propellers,124__841191,2022,2843620.6769999997,trend_adjusted_naive,2315352.7626164686
124,841191,CAN,Canada,Turbines: parts of turbo-jets and turbo-propellers,124__841191,2022,2843620.6769999997,simple_exponential_smoothing,2331940.115792969
124,841191,CAN,Canada,Turbines: parts of turbo-jets and turbo-propellers,124__841191,2023,3337690.065,naive_last_value,2843620.6769999997
124,841191,CAN,Canada,Turbines: parts of turbo-jets and turbo-propellers,124__841191,2023,3337690.065,moving_average_3,2414308.4243333335
124,841191,CAN,Canada,Turbines: parts of turbo-jets and turbo-propellers,124__841191,2023,3337690.065,trend_adjusted_naive,2942769.60071974
124,841191,CAN,Canada,Turbines: parts of turbo-jets and turbo-propellers,124__841191,2023,3337690.065,simple_exponential_smoothing,2587780.396396484
124,847130,CAN,Canada,"Automatic data processing machines: portable, weighing not m",124__847130,2022,5825912.397,naive_last_value,6216736.84
124,847130,CAN,Canada,"Automatic data processing machines: portable, weighing not m",124__847130,2022,5825912.397,moving_average_3,5510219.818666667
124,847130,CAN,Canada,"Automatic data processing machines: portable, weighing not m",124__847130,2022,5825912.397,trend_adjusted_naive,6984946.559507789
124,847130,CAN,Canada,"Automatic data processing machines: portable, weighing not m",124__847130,2022,5825912.397,simple_exponential_smoothing,5609047.757513672
124,847130,CAN,Canada,"Automatic data processing machines: portable, weighing not m",124__847130,2023,5025424.233,naive_last_value,5825912.397
124,847130,CAN,Canada,"Automatic data processing machines: portable, weighing not m",124__847130,2023,5025424.233,moving_average_3,5858554.881666667
124,847130,CAN,Canada,"Automatic data processing machines: portable, weighing not m",124__847130,2023,5025424.233,trend_adjusted_naive,6545827.465558109
124,847130,CAN,Canada,"Automatic data processing machines: portable, weighing not m",124__847130,2023,5025424.233,simple_exponential_smoothing,5717480.077256836
124,847150,CAN,Canada,Units of automatic data processing machines: processing unit,124__847150,2022,2684791.123,naive_last_value,2500685.816
124,847150,CAN,Canada,Units of automatic data processing machines: processing unit,124__847150,2022,2684791.123,moving_average_3,2324010.1476666667
124,847150,CAN,Canada,Units of automatic data processing machines: processing unit,124__847150,2022,2684791.123,trend_adjusted_naive,2631406.7591734095
124,847150,CAN,Canada,Units of automatic data processing machines: processing unit,124__847150,2022,2684791.123,simple_exponential_smoothing,2333047.7292128904
124,847150,CAN,Canada,Units of automatic data processing machines: processing unit,124__847150,2023,2384413.248,naive_last_value,2684791.123
124,847150,CAN,Canada,Units of automatic data processing machines: processing unit,124__847150,2023,2384413.248,moving_average_3,2434027.9186666664
124,847150,CAN,Canada,Units of automatic data processing machines: processing unit,124__847150,2023,2384413.248,trend_adjusted_naive,2882450.617354804
124,847150,CAN,Canada,Units of automatic data processing machines: processing unit,124__847150,2023,2384413.248,simple_exponential_smoothing,2508919.4261064455
124,848180,CAN,Canada,"Taps, cocks, valves and similar appliances: for pipes, boile",124__848180,2022,2345427.85,naive_last_value,2009711.189
124,848180,CAN,Canada,"Taps, cocks, valves and similar appliances: for pipes, boile",124__848180,2022,2345427.85,moving_average_3,2035840.49
124,848180,CAN,Canada,"Taps, cocks, valves and similar appliances: for pipes, boile",124__848180,2022,2345427.85,trend_adjusted_naive,1945610.1180998352
124,848180,CAN,Canada,"Taps, cocks, valves and similar appliances: for pipes, boile",124__848180,2022,2345427.85,simple_exponential_smoothing,2021632.4683339843
124,848180,CAN,Canada,"Taps, cocks, valves and similar appliances: for pipes, boile",124__848180,2023,2278854.371,naive_last_value,2345427.85
124,848180,CAN,Canada,"Taps, cocks, valves and similar appliances: for pipes, boile",124__848180,2023,2278854.371,moving_average_3,2072319.6896666668
124,848180,CAN,Canada,"Taps, cocks, valves and similar appliances: for pipes, boile",124__848180,2023,2278854.371,trend_adjusted_naive,2531733.7428887873
124,848180,CAN,Canada,"Taps, cocks, valves and similar appliances: for pipes, boile",124__848180,2023,2278854.371,simple_exponential_smoothing,2183530.159166992
124,851712,CAN,Canada,Telephones for cellular networks or for other wireless netwo,124__851712,2022,6758692.878,naive_last_value,6371354.112999999
124,851712,CAN,Canada,Telephones for cellular networks or for other wireless netwo,124__851712,2022,6758692.878,moving_average_3,5841922.206666666
124,851712,CAN,Canada,Telephones for cellular networks or for other wireless netwo,124__851712,2022,6758692.878,trend_adjusted_naive,5997912.873505532
124,851712,CAN,Canada,Telephones for cellular networks or for other wireless netwo,124__851712,2022,6758692.878,simple_exponential_smoothing,5898517.452449218
124,851712,CAN,Canada,Telephones for cellular networks or for other wireless netwo,124__851712,2023,6844306.716,naive_last_value,6758692.878
124,851712,CAN,Canada,Telephones for cellular networks or for other wireless netwo,124__851712,2023,6844306.716,moving_average_3,6121337.042999999
124,851712,CAN,Canada,Telephones for cellular networks or for other wireless netwo,124__851712,2023,6844306.716,trend_adjusted_naive,7169579.434601413
124,851712,CAN,Canada,Telephones for cellular networks or for other wireless netwo,124__851712,2023,6844306.716,simple_exponential_smoothing,6328605.165224609
124,851762,CAN,Canada,Communication apparatus (excluding telephone sets or base st,124__851762,2022,5017725.715,naive_last_value,4538977.908
124,851762,CAN,Canada,Communication apparatus (excluding telephone sets or base st,124__851762,2022,5017725.715,moving_average_3,4165902.597333333
124,851762,CAN,Canada,Communication apparatus (excluding telephone sets or base st,124__851762,2022,5017725.715,trend_adjusted_naive,4587359.704303077
124,851762,CAN,Canada,Communication apparatus (excluding telephone sets or base st,124__851762,2022,5017725.715,simple_exponential_smoothing,4225397.826246094
124,851762,CAN,Canada,Communication apparatus (excluding telephone sets or base st,124__851762,2023,4874407.175,naive_last_value,5017725.715
124,851762,CAN,Canada,Communication apparatus (excluding telephone sets or base st,124__851762,2023,4874407.175,moving_average_3,4501633.3023333335
